episode,global_step,outcome,ep_steps,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss
189,4404,loss,27,-69.50,0,7,0.9163,0,2.515138
190,4425,loss,21,-66.50,0,7,0.9159,0,2.681242
191,4435,loss,10,-63.00,0,7,0.9157,0,2.301053
192,4449,loss,14,-63.50,0,7,0.9155,0,2.391398
193,4468,loss,19,-67.50,0,8,0.9151,0,2.625386
194,4497,loss,29,-71.50,0,8,0.9146,0,2.113103
195,4508,loss,11,-62.00,0,7,0.9143,0,2.510637
196,4531,loss,23,-69.50,0,8,0.9139,0,2.408022
197,4544,loss,13,-62.00,0,7,0.9137,0,2.207846
198,4561,loss,17,-65.00,0,7,0.9133,0,2.179028
199,4580,loss,19,-67.50,0,8,0.9130,0,2.262596
200,4603,loss,23,-69.50,0,8,0.9125,0,2.376102
201,4630,loss,27,-70.00,0,7,0.9120,0,2.635122
202,4653,loss,23,-68.00,0,7,0.9116,0,2.337392
203,4674,loss,21,-66.50,0,7,0.9112,0,2.522760
204,4691,loss,17,-66.50,0,8,0.9109,0,1.949796
205,4706,loss,15,-64.00,0,7,0.9106,0,2.836700
206,4723,loss,17,-66.50,0,8,0.9103,0,2.462126
207,4744,loss,21,-67.00,0,8,0.9099,0,2.407940
208,4763,loss,19,-67.00,0,7,0.9095,0,2.469812
209,4783,loss,20,-67.50,0,7,0.9091,0,2.122854
210,4804,loss,21,-70.00,0,8,0.9087,0,2.572933
211,4821,loss,17,-66.50,0,8,0.9084,0,2.113457
212,4834,loss,13,-64.50,0,7,0.9082,0,2.360735
213,4850,loss,16,-67.50,0,8,0.9079,0,2.013144
214,4879,loss,29,-70.50,0,7,0.9073,0,2.198174
215,4923,loss,44,-83.50,0,8,0.9065,0,2.392799
216,4942,loss,19,-67.50,0,8,0.9061,0,2.450026
217,4969,loss,27,-71.00,0,8,0.9056,0,2.383174
218,4996,loss,27,-71.50,0,8,0.9051,0,2.153299
219,5021,loss,25,-72.00,0,8,0.9046,0,2.081200
220,5035,loss,14,-65.00,0,7,0.9043,0,2.742597
221,5056,loss,21,-68.00,0,7,0.9039,0,2.229196
222,5089,loss,33,-74.50,0,8,0.9033,0,2.271014
223,5115,loss,26,-70.00,0,8,0.9028,0,2.055739
224,5143,loss,28,-69.00,0,7,0.9023,0,2.315935
225,5162,loss,19,-66.50,0,7,0.9019,0,2.104473
226,5177,loss,15,-68.00,0,7,0.9016,0,2.758640
227,5193,loss,16,-66.00,0,7,0.9013,0,2.618662
228,5210,loss,17,-66.50,0,8,0.9010,0,2.476101
229,5230,loss,20,-65.50,0,7,0.9006,0,2.339022
230,5249,loss,19,-66.50,0,8,0.9003,0,2.451057
231,5286,loss,37,-74.00,0,8,0.8996,0,2.401495
232,5315,loss,29,-71.50,0,8,0.8990,0,2.216824
233,5336,loss,21,-67.00,0,7,0.8986,0,2.361358
234,5348,loss,12,-62.50,0,7,0.8984,0,2.590819
235,5370,loss,22,-69.00,0,8,0.8980,0,2.057589
236,5383,loss,13,-63.00,0,7,0.8977,0,2.539578
237,5407,loss,24,-67.50,0,7,0.8973,0,1.908082
238,5424,loss,17,-65.50,0,7,0.8969,0,2.488424
239,5440,loss,16,-63.50,0,7,0.8966,0,2.672605
240,5458,loss,18,-65.00,0,7,0.8963,0,2.377344
241,5473,loss,15,-64.00,0,7,0.8960,0,2.044397
242,5493,loss,20,-69.50,0,8,0.8956,0,2.169170
243,5593,timeout,100,-62.49,1,8,0.8937,0,2.382597
244,5614,loss,21,-68.50,0,8,0.8933,0,2.450084
245,5631,loss,17,-67.50,0,7,0.8930,0,2.343713
246,5731,timeout,100,-62.99,2,8,0.8911,0,2.365746
247,5754,loss,23,-66.50,0,7,0.8907,0,2.065756
248,5769,loss,15,-65.50,0,7,0.8904,0,1.949839
249,5790,loss,21,-67.00,0,7,0.8900,0,2.513943
250,5820,loss,30,-74.50,0,8,0.8894,0,2.144125
251,5845,loss,25,-70.50,0,8,0.8889,0,2.000926
252,5864,loss,19,-66.00,0,7,0.8886,0,2.401227
253,5877,loss,13,-66.00,0,7,0.8883,0,2.343434
254,5902,loss,25,-70.00,0,8,0.8879,0,2.417103
255,5938,loss,36,-75.50,0,8,0.8872,0,2.154497
256,5955,loss,17,-64.50,0,7,0.8869,0,1.976228
257,5975,loss,20,-67.50,0,7,0.8865,0,2.379539
258,5992,loss,17,-65.00,0,7,0.8862,0,1.931799
259,6007,loss,15,-65.50,0,7,0.8859,0,2.312176
260,6028,loss,21,-66.50,0,7,0.8855,0,2.292847
261,6045,loss,17,-65.00,0,7,0.8851,0,2.286149
262,6070,loss,25,-72.00,0,8,0.8847,0,1.917239
263,6091,loss,21,-67.00,0,7,0.8843,0,2.023539
264,6112,loss,21,-68.50,0,8,0.8839,0,1.887418
265,6127,loss,15,-65.00,0,7,0.8836,0,1.922553
266,6150,loss,23,-70.00,0,7,0.8831,0,1.996457
267,6176,loss,26,-69.50,0,7,0.8827,0,2.113295
268,6209,loss,33,-72.00,0,7,0.8820,0,2.620555
