# run_timestamp,20260509_133737
# total_steps,100000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,500000
# grad_clip,1.0
# batch_size,64
# replay_capacity,500000
# beginner_max_turns,300
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
67,64077,timeout,1076,300,488.56,8,5,0.8783,0,0.763115,51,45,450,476,150,25,292,27,141,"NA:N,SA:N",0A14|1E1|2A6|3E1|4E16|5A1|6E15|7A17|8A9|9A1|10E12|11A1|12A2
68,65146,timeout,1069,300,395.89,9,4,0.8762,0,0.749543,64,30,450,469,150,20,291,20,142,"NA:N,SA:N",0E0|1E3|2A1|3E14|4A16|5A1|6A1|7A7|8A16|9A17|10A2|11A3|12E13
69,66222,timeout,1076,300,380.76,4,9,0.8742,0,0.733066,79,178,468,458,150,20,280,25,132,"NA:E,SA:A",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E18|9A19|10A20|11A20|12A20
70,67523,win,1301,292,644.91,13,0,0.8717,0,0.739242,238,0,657,499,145,23,320,19,137,"NA:A,SA:A",0A17|1A3|2A18|3A20|4A20|5A20|6A20|7A20|8A20|9A20|10A20|11A20|12A20
71,68753,timeout,1230,300,550.20,9,4,0.8694,0,0.750330,133,16,564,516,150,27,330,27,139,"NA:N,SA:A",0E1|1A1|2A9|3E1|4E3|5A11|6E11|7A16|8A16|9A20|10A20|11A20|12A20
72,70042,timeout,1289,300,741.39,12,1,0.8669,0,0.723194,238,4,646,493,150,33,301,30,145,"NA:N,SA:A",0A20|1A20|2A20|3A20|4A20|5A20|6E4|7A18|8A20|9A20|10A20|11A20|12A20
73,71092,timeout,1050,300,336.30,4,8,0.8649,0,0.729571,50,67,450,450,150,17,277,19,134,"NA:N,SA:N",0E1|1E6|2A6|3E8|4E20|5A20|6A5|7A19|8E20|9E4|10E4|11N1|12E4
74,71401,loss,309,80,94.99,0,13,0.8643,0,0.706381,0,77,122,149,38,9,89,15,32,"NA:E,SA:E",0E3|1E3|2E3|3E3|4E3|5E3|6E10|7E3|8E3|9E11|10E17|11E12|12E3
75,72367,timeout,966,300,343.56,9,3,0.8625,0,0.691834,178,58,456,360,150,13,190,11,146,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A18|9E18|10E20|11N1|12E20
76,73185,loss,818,212,317.98,0,12,0.8609,0,0.766621,0,56,329,387,102,21,250,27,82,"NA:E,SA:N",0E1|1E1|2E1|3E4|4E11|5E5|6E5|7E3|8E17|9E3|10E2|11N1|12E3
77,74367,timeout,1182,300,634.22,12,1,0.8587,0,0.740934,135,11,531,501,150,30,313,27,137,"NA:N,SA:A",0A1|1A10|2A5|3A19|4A13|5A8|6E11|7A1|8A15|9A20|10A20|11A3|12A20
78,75492,timeout,1125,300,136.85,1,12,0.8566,0,0.711648,17,238,480,520,125,10,325,20,99,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E20|10E18|11E20|12A17
79,76688,timeout,1196,300,770.76,9,4,0.8543,0,0.730765,90,21,513,533,150,40,333,41,140,"NA:N,SA:N",0A7|1A20|2A7|3A2|4A18|5A20|6E8|7A12|8E8|9E2|10E3|11A3|12A1
80,77774,timeout,1086,300,556.26,10,3,0.8522,0,0.738090,57,40,453,484,149,28,297,27,136,"NA:N,SA:N",0A6|1A2|2A1|3E5|4A18|5A16|6E17|7A1|8A1|9A6|10E18|11A3|12A3
81,78960,timeout,1186,300,512.26,12,1,0.8500,0,0.728455,238,12,606,430,150,20,250,19,144,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A20|9A18|10E12|11A20|12A20
82,80061,timeout,1101,300,470.71,9,4,0.8479,0,0.738252,87,31,475,476,150,23,295,23,138,"NA:N,SA:N",0A20|1A2|2A13|3A10|4A1|5A20|6A18|7A1|8E9|9E11|10E9|11A2|12E2
83,81318,win,1257,293,523.67,13,0,0.8455,0,0.725089,229,0,625,486,146,17,312,14,137,"NA:A,SA:A",0A15|1A11|2A20|3A3|4A20|5A20|6A20|7A20|8A20|9A20|10A20|11A20|12A20
84,82370,timeout,1052,300,286.92,9,3,0.8435,0,0.730813,177,57,511,391,150,10,223,10,146,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A17|9E17|10E20|11N1|12E20
85,83418,timeout,1048,300,203.28,6,6,0.8415,0,0.706748,54,61,463,435,150,9,268,12,136,"NA:N,SA:N",0A5|1E2|2A18|3A1|4E19|5A1|6A12|7A17|8E19|9E9|10E6|11N1|12E6
86,84654,timeout,1236,300,516.56,12,1,0.8392,0,0.716972,220,19,618,468,150,21,288,17,140,"NA:N,SA:A",0A9|1A14|2A20|3A19|4A20|5A20|6E19|7A20|8A18|9A20|10A20|11A20|12A20
87,85880,timeout,1226,300,467.76,12,1,0.8368,0,0.748729,215,16,618,458,150,18,282,15,145,"NA:N,SA:A",0A20|1A15|2A19|3A20|4E16|5A20|6A3|7A18|8A20|9A20|10A20|11A20|12A20
88,86938,timeout,1058,300,244.28,2,10,0.8348,0,0.695286,35,67,451,458,149,13,287,19,124,"NA:N,SA:N",0E1|1E5|2E5|3E7|4E19|5E3|6A20|7A15|8E20|9E2|10E3|11N1|12E2
89,87955,timeout,1017,300,40.77,4,8,0.8329,0,0.717865,54,65,449,418,150,1,259,6,141,"NA:N,SA:N",0E8|1E14|2A20|3E2|4A14|5A9|6E14|7A11|8E6|9E8|10E7|11N1|12E6
90,89048,timeout,1093,300,161.53,7,5,0.8308,0,0.682021,58,30,487,456,150,7,290,9,142,"NA:N,SA:N",0A4|1A3|2A2|3A6|4A20|5A20|6E4|7A3|8E2|9E12|10E6|11N1|12E6
91,90075,timeout,1027,300,319.17,6,7,0.8289,0,0.706334,82,62,450,427,150,15,254,18,146,"NA:N,SA:N",0E1|1E1|2E1|3E10|4E19|5A18|6E10|7A4|8A20|9A2|10A20|11A18|12E20
92,91085,timeout,1010,300,291.60,3,10,0.8269,0,0.703707,54,196,420,440,150,15,267,20,134,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E16|9A20|10E20|11A14|12A20
93,92049,timeout,964,300,116.54,3,10,0.8251,0,0.698526,54,200,424,391,149,4,229,9,133,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9A18|10A16|11A20|12E20
94,93031,timeout,982,300,169.32,5,8,0.8232,0,0.657269,96,87,445,387,150,7,221,12,138,"NA:N,SA:A",0E7|1E7|2E8|3E7|4E13|5E7|6E18|7E20|8A16|9A20|10A20|11A20|12A20
95,94089,timeout,1058,300,186.78,6,6,0.8212,0,0.659293,73,56,465,443,150,9,275,12,143,"NA:N,SA:N",0E1|1E4|2A9|3E17|4A18|5A20|6A4|7A2|8A20|9E18|10E9|11N1|12E7
96,95090,timeout,1001,300,113.21,2,11,0.8193,0,0.660002,37,218,432,419,150,6,255,11,126,"NA:E,SA:N",0E20|1E20|2E20|3E20|4E20|5E20|6E20|7E20|8E20|9E18|10E20|11A17|12A20
97,96309,timeout,1219,300,412.89,10,3,0.8170,0,0.665693,183,43,596,473,150,17,298,15,146,"NA:N,SA:A",0E8|1A10|2A20|3A19|4E17|5A20|6E18|7A16|8A18|9A20|10A20|11A20|12A20
98,97344,timeout,1035,300,83.85,4,8,0.8150,0,0.646194,57,76,453,433,149,4,270,9,127,"NA:N,SA:N",0E1|1E1|2A1|3E11|4E20|5A18|6E20|7A18|8A20|9E11|10E6|11N1|12E6
99,98325,timeout,981,300,208.31,8,4,0.8132,0,0.647844,156,68,479,352,150,6,187,8,145,"NA:N,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A16|7A20|8E8|9E20|10E20|11N1|12E20
100,99129,timeout,804,300,153.34,9,3,0.8117,0,0.634347,178,59,399,255,150,1,96,1,144,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A18|9E19|10E20|11N1|12E20
