# run_timestamp,20260509_074328
# total_steps,100000
# learning_rate,0.0001
# gamma,0.95
# tau,0.01
# eps_decay,20000
# grad_clip,10.0
# batch_size,64
# replay_capacity,50000
# beginner_max_turns,60
# beginner_agent_armies,8
# beginner_enemy_armies,1
# reward_clip,none

episode,global_step,outcome,ep_steps,turns,reward,agent_terr,enemy_terr,epsilon,curriculum_level,mean_loss,agent_armies,enemy_armies,phase_reinforce,phase_attack,phase_fortify,combat_wins,combat_losses,territory_losses,fortify_count,continents,final_state
78,23190,timeout,395,60,-50.64,11,2,0.0500,0,0.143278,219,39,274,61,60,1,4,0,55,"NA:A,SA:N",0A20|1A20|2A20|3A20|4A20|5A20|6A20|7A20|8A20|9A19|10E19|11A20|12E20
79,23489,timeout,299,60,-46.22,5,7,0.0500,0,0.165192,97,88,179,60,60,10,42,14,58,"NA:N,SA:N",0E8|1A19|2A18|3E20|4A20|5A20|6E20|7A20|8E20|9E11|10E5|11N1|12E4
80,23789,timeout,300,60,-74.94,4,8,0.0500,0,0.156809,74,89,180,60,60,1,52,5,57,"NA:N,SA:N",0E1|1E18|2A19|3E20|4A15|5A20|6E20|7A20|8E20|9E3|10E3|11N1|12E4
81,24089,timeout,300,60,-46.01,5,7,0.0500,0,0.148027,94,74,180,60,60,2,51,5,58,"NA:N,SA:N",0E2|1A17|2A18|3E20|4A20|5A19|6E20|7A20|8E20|9E4|10E4|11N1|12E4
82,24372,timeout,283,60,-42.95,5,7,0.0500,0,0.154223,64,81,163,60,60,5,47,8,56,"NA:N,SA:N",0E3|1A8|2A3|3E17|4A20|5A13|6E20|7A20|8E20|9E7|10E7|11N1|12E7
83,24672,timeout,300,60,-41.26,6,6,0.0500,0,0.148732,83,83,180,60,60,1,47,4,59,"NA:N,SA:N",0A1|1A4|2A20|3E19|4A20|5A18|6E20|7A20|8E17|9E9|10E9|11N1|12E9
84,24924,timeout,252,60,-45.57,2,6,0.0500,0,0.137523,37,67,132,60,60,0,53,3,56,"NA:N,SA:N",0A17|1A20|2N1|3E20|4N1|5N1|6E11|7N1|8E9|9E9|10E9|11N1|12E9
85,25218,timeout,294,60,-42.90,5,7,0.0500,0,0.154636,63,84,174,60,60,0,51,4,60,"NA:N,SA:N",0E18|1A20|2A14|3E20|4A16|5A1|6E20|7A12|8E12|9E5|10E5|11N1|12E4
86,25518,timeout,300,60,-56.33,5,7,0.0500,0,0.143559,79,77,180,60,60,0,50,3,59,"NA:N,SA:N",0E1|1A17|2A6|3E11|4A20|5A16|6E20|7A20|8E20|9E8|10E8|11N1|12E9
87,25811,timeout,293,60,-34.77,6,6,0.0500,0,0.149084,64,81,172,61,60,1,51,4,59,"NA:N,SA:N",0A11|1A20|2A1|3E19|4A4|5A8|6E20|7A20|8E20|9E7|10E8|11N1|12E7
88,26098,timeout,287,60,-47.12,4,8,0.0500,0,0.144302,76,88,167,60,60,5,47,10,59,"NA:N,SA:N",0E1|1E20|2A18|3E13|4A18|5A20|6E20|7A20|8E19|9E9|10E3|11N1|12E3
